Time -                  136 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  138 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  140 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  142 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  144 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  146 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  148 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  150 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  152 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  154 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  156 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  158 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  160 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  162 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  164 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  166 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  168 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  170 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  172 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  174 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  176 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  178 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  180 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  182 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  184 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  186 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  188 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  190 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  192 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  194 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  196 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  198 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
Time -                  200 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  2
Time -                  202 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  204 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  206 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  2
Time -                  208 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  2
Time -                  210 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  2
